Entity,Code,Day,05-10,10-14,15-17,18-24,25-49,50-59,60-69,70-79,80+,people_vaccinated_per_hundred
Austria,AUT,01-08-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,1/15/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,1/22/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,1/29/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,02-05-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,02-12-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,2/19/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,2/26/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,03-05-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,03-12-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,3/19/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,3/26/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,04-02-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,04-09-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,4/16/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,4/23/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,4/30/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,05-07-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,5/14/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,5/21/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,5/28/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,06-04-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,06-11-2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,6/18/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,6/25/2021,0,0,0,0,0,0,0,0,0,0
Austria,AUT,07-02-2021,0,0,0,0,0,0,0,0,0.01,0.01
Austria,AUT,07-09-2021,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
Austria,AUT,7/16/2021,0,0,0,0,0,0.01,0.01,0.01,0.02,0.01
Austria,AUT,7/23/2021,0,0,0,0,0.01,0.01,0.02,0.02,0.03,0.01
Austria,AUT,7/30/2021,0,0,0,0,0.01,0.02,0.02,0.03,0.03,0.02
Austria,AUT,08-06-2021,0,0,0,0,0.01,0.02,0.03,0.03,0.04,0.02
Austria,AUT,8/13/2021,0,0,0,0,0.01,0.03,0.04,0.05,0.06,0.03
Austria,AUT,8/20/2021,0,0,0,0.01,0.02,0.03,0.05,0.06,0.08,0.06
Austria,AUT,8/27/2021,0,0,0,0.01,0.02,0.05,0.07,0.09,0.14,0.12
Austria,AUT,09-03-2021,0,0,0,0.01,0.04,0.08,0.14,0.19,0.33,0.25
Austria,AUT,09-10-2021,0,0,0,0.02,0.07,0.14,0.22,0.32,0.73,0.49
Austria,AUT,9/17/2021,0,0,0.01,0.05,0.14,0.26,0.36,0.58,1.87,0.85
Austria,AUT,9/24/2021,0,0,0.01,0.08,0.24,0.43,0.61,1.07,4.1,1.55
Austria,AUT,10-01-2021,0,0,0.01,0.12,0.35,0.64,0.91,1.67,7.72,2.26
Austria,AUT,10-08-2021,0,0,0.02,0.19,0.54,0.98,1.41,2.74,14.86,3.16
Austria,AUT,10/15/2021,0,0,0.03,0.26,0.78,1.41,2.02,4.1,20.77,3.85
Austria,AUT,10/22/2021,0,0,0.04,0.37,1.12,2.01,2.86,6.08,27.2,5.5
Austria,AUT,10/29/2021,0,0,0.05,0.48,1.37,2.43,3.51,7.77,31.48,9
Austria,AUT,11-05-2021,0,0,0.08,0.95,2.32,3.93,5.5,11.96,38.18,14.78
Austria,AUT,11-12-2021,0,0.01,0.18,2.07,4.59,7.58,10.48,20.67,47.92,21.84
Austria,AUT,11/19/2021,0,0.04,0.5,4.02,8.57,14.45,20.54,34.17,58.16,28.44
Austria,AUT,11/26/2021,0,0.1,1.23,7.42,14.33,24.01,33.23,47.02,66.83,34.07
Austria,AUT,12-03-2021,0,0.21,2.26,11.23,20.19,33.08,44.85,57.58,72.88,39.66
Austria,AUT,12-10-2021,0,0.37,3.49,15.39,25.87,40.91,54.08,64.54,76.32,42.18
Austria,AUT,12/17/2021,0,0.9,6.02,20.4,31.83,48.53,62.4,70.21,79.36,43.92
Austria,AUT,12/24/2021,0,1.57,8.59,23.64,34.59,51.62,65.28,72.13,80.54,46.14
Austria,AUT,12/31/2021,0,2.27,10.91,25.75,36.46,53.61,66.89,73.09,81.09,48.76
Austria,AUT,01-07-2022,0.01,3.58,14.97,28.7,39.06,56.05,68.78,74.1,81.68,50.71
Austria,AUT,1/14/2022,0.01,4.69,18.62,32.08,42.49,59.06,71.23,75.63,82.64,52.34
Austria,AUT,1/21/2022,0.01,5.58,21.56,35.15,45.18,61.2,72.8,76.6,83.34,54.07
Austria,AUT,1/28/2022,0.01,6.5,24.58,37.95,47.46,62.87,73.92,77.28,83.84,54.86
Austria,AUT,02-04-2022,0.02,7.42,27.69,41.65,50,64.49,74.93,77.84,84.23,55.27
Austria,AUT,02-11-2022,0.02,8.22,29.83,43.24,51.04,65.15,75.42,78.18,84.52,55.57
Austria,AUT,2/18/2022,0.02,8.78,31.22,43.99,51.52,65.49,75.7,78.42,84.74,55.82
Austria,AUT,2/25/2022,0.03,9.25,32.23,44.46,51.85,65.73,75.91,78.61,84.92,56.03
Austria,AUT,03-04-2022,0.03,9.62,33.03,44.85,52.12,65.95,76.11,78.79,85.08,56.22
Austria,AUT,03-11-2022,0.03,9.91,33.59,45.15,52.35,66.14,76.29,78.94,85.21,56.42
Austria,AUT,3/18/2022,0.04,10.15,34.02,45.41,52.56,66.32,76.46,79.1,85.35,56.61
Austria,AUT,3/25/2022,0.04,10.38,34.44,45.7,52.78,66.51,76.64,79.26,85.48,56.81
Austria,AUT,04-01-2022,0.04,10.58,34.83,45.98,53,66.71,76.81,79.42,85.6,56.98
Austria,AUT,04-08-2022,0.05,10.77,35.16,46.24,53.21,66.9,77.01,79.59,85.75,57.17
Austria,AUT,4/15/2022,0.05,10.95,35.54,46.49,53.39,67.06,77.16,79.72,85.87,57.41
Austria,AUT,4/22/2022,0.06,11.09,35.8,46.71,53.59,67.25,77.36,79.88,86.01,57.65
Austria,AUT,4/29/2022,0.06,11.25,36.06,46.94,53.82,67.51,77.6,80.09,86.18,57.89
Austria,AUT,05-06-2022,0.07,11.37,36.28,47.17,54.05,67.76,77.84,80.29,86.34,57.99
Austria,AUT,5/13/2022,0.08,11.49,36.51,47.43,54.29,68.02,78.07,80.48,86.51,1.21
Austria,AUT,5/20/2022,0.09,11.61,36.72,47.67,54.52,68.25,78.28,80.66,86.7,2.16
Austria,AUT,5/27/2022,0.1,11.71,36.89,47.87,54.68,68.4,78.41,80.77,86.81,2.92
Austria,AUT,06-03-2022,0.12,11.85,37.07,48.07,54.85,68.57,78.56,80.9,86.95,5.54
Austria,AUT,06-10-2022,0.15,11.98,37.25,48.24,54.99,68.7,78.69,81.01,87.07,5.96
Austria,AUT,6/17/2022,0.18,12.15,37.46,48.41,55.11,68.82,78.79,81.1,87.16,6.32
Austria,AUT,6/24/2022,0.27,12.41,37.72,48.59,55.24,68.94,78.91,81.21,87.3,6.9
Austria,AUT,07-01-2022,0.4,12.72,37.96,48.74,55.35,69.03,79,81.31,87.42,7.15
Austria,AUT,07-08-2022,0.55,13.01,38.18,48.89,55.46,69.13,79.11,81.42,87.56,7.32
Austria,AUT,7/15/2022,0.57,13.04,38.2,48.91,55.47,69.14,79.12,81.43,87.57,7.54
Belgium,BEL,01-08-2021,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,1/15/2021,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,1/22/2021,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,1/29/2021,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,02-05-2021,0,0,0,0,0,0,0,0,0,0.01
Belgium,BEL,02-12-2021,0,0,0,0,0,0,0,0,0,0.01
Belgium,BEL,2/19/2021,0,0,0,0,0,0,0,0,0,0.02
Belgium,BEL,2/26/2021,0,0,0,0,0,0,0,0,0,0.04
Belgium,BEL,03-05-2021,0,0,0,0,0,0,0,0,0,0.08
Belgium,BEL,03-12-2021,0,0,0,0,0,0,0,0,0,0.14
Belgium,BEL,3/19/2021,0,0,0,0,0,0,0,0,0,0.14
Belgium,BEL,3/26/2021,0,0,0,0,0,0,0,0,0,0.17
Belgium,BEL,04-02-2021,0,0,0,0,0,0,0,0,0,0.22
Belgium,BEL,04-09-2021,0,0,0,0,0,0,0,0,0,0.33
Belgium,BEL,4/16/2021,0,0,0,0,0,0,0,0,0,0.41
Belgium,BEL,4/23/2021,0,0,0,0,0,0,0,0,0,0.51
Belgium,BEL,4/30/2021,0,0,0,0,0,0,0,0,0,0.64
Belgium,BEL,05-07-2021,0,0,0,0,0,0,0,0,0,0.64
Belgium,BEL,5/14/2021,0,0,0,0,0,0,0,0,0,0.71
