Entity,Code,Day,people_vaccinated_per_hundred
Austria,AUT,22-01-2021,0
Austria,AUT,29-01-2021,0
Austria,AUT,05-02-2021,0
Austria,AUT,12-02-2021,0
Austria,AUT,19-02-2021,0
Austria,AUT,26-02-2021,0
Austria,AUT,05-03-2021,0
Austria,AUT,12-03-2021,0
Austria,AUT,19-03-2021,0
Austria,AUT,26-03-2021,0
Austria,AUT,02-04-2021,0
Austria,AUT,09-04-2021,0
Austria,AUT,16-04-2021,0
Austria,AUT,23-04-2021,0
Austria,AUT,30-04-2021,0
Austria,AUT,07-05-2021,0
Austria,AUT,14-05-2021,0
Austria,AUT,21-05-2021,0
Austria,AUT,28-05-2021,0
Austria,AUT,04-06-2021,0
Austria,AUT,11-06-2021,0
Austria,AUT,18-06-2021,0
Austria,AUT,25-06-2021,0
Austria,AUT,02-07-2021,0
Austria,AUT,09-07-2021,0
Austria,AUT,16-07-2021,0.01
Austria,AUT,23-07-2021,0.01
Austria,AUT,30-07-2021,0.01
Austria,AUT,06-08-2021,0.01
Austria,AUT,13-08-2021,0.02
Austria,AUT,20-08-2021,0.02
Austria,AUT,27-08-2021,0.03
Austria,AUT,03-09-2021,0.06
Austria,AUT,10-09-2021,0.12
Austria,AUT,17-09-2021,0.25
Austria,AUT,24-09-2021,0.49
Austria,AUT,01-10-2021,0.85
Austria,AUT,08-10-2021,1.55
Austria,AUT,15-10-2021,2.26
Austria,AUT,22-10-2021,3.16
Austria,AUT,29-10-2021,3.85
Austria,AUT,05-11-2021,5.5
Austria,AUT,12-11-2021,9
Austria,AUT,19-11-2021,14.78
Austria,AUT,26-11-2021,21.84
Austria,AUT,03-12-2021,28.44
Austria,AUT,10-12-2021,34.07
Austria,AUT,17-12-2021,39.66
Austria,AUT,24-12-2021,42.18
Austria,AUT,31-12-2021,43.92
Austria,AUT,07-01-2022,46.14
Austria,AUT,14-01-2022,48.76
Austria,AUT,21-01-2022,50.71
Austria,AUT,28-01-2022,52.34
Austria,AUT,04-02-2022,54.07
Austria,AUT,11-02-2022,54.86
Austria,AUT,18-02-2022,55.27
Austria,AUT,25-02-2022,55.57
Austria,AUT,04-03-2022,55.82
Austria,AUT,11-03-2022,56.03
Austria,AUT,18-03-2022,56.22
Austria,AUT,25-03-2022,56.42
Austria,AUT,01-04-2022,56.61
Austria,AUT,08-04-2022,56.81
Austria,AUT,15-04-2022,56.98
Austria,AUT,22-04-2022,57.17
Austria,AUT,29-04-2022,57.41
Austria,AUT,06-05-2022,57.65
Austria,AUT,13-05-2022,57.89
Austria,AUT,20-05-2022,57.99
Belarus,BLR,12-12-2021,1.21
Belarus,BLR,09-01-2022,2.16
Belarus,BLR,16-01-2022,2.92
Belarus,BLR,20-03-2022,5.54
Belarus,BLR,27-03-2022,5.96
Belarus,BLR,03-04-2022,6.32
Belarus,BLR,17-04-2022,6.9
Belarus,BLR,24-04-2022,7.15
Belarus,BLR,01-05-2022,7.32
Belarus,BLR,15-05-2022,7.54
Belgium,BEL,09-09-2021,0
Belgium,BEL,10-09-2021,0
Belgium,BEL,11-09-2021,0
Belgium,BEL,12-09-2021,0
Belgium,BEL,13-09-2021,0.01
Belgium,BEL,14-09-2021,0.01
Belgium,BEL,15-09-2021,0.02
Belgium,BEL,16-09-2021,0.04
Belgium,BEL,17-09-2021,0.08
Belgium,BEL,18-09-2021,0.14
Belgium,BEL,19-09-2021,0.14
Belgium,BEL,20-09-2021,0.17
Belgium,BEL,21-09-2021,0.22
Belgium,BEL,22-09-2021,0.33
Belgium,BEL,23-09-2021,0.41
Belgium,BEL,24-09-2021,0.51
Belgium,BEL,25-09-2021,0.64
Belgium,BEL,26-09-2021,0.64
Belgium,BEL,27-09-2021,0.71
Belgium,BEL,28-09-2021,0.84
Belgium,BEL,29-09-2021,1.04
Belgium,BEL,30-09-2021,1.2
Belgium,BEL,01-10-2021,1.33
Belgium,BEL,02-10-2021,1.44
Belgium,BEL,03-10-2021,1.45
Belgium,BEL,04-10-2021,1.52
Belgium,BEL,05-10-2021,1.64
Belgium,BEL,06-10-2021,1.91
Belgium,BEL,07-10-2021,2.24
Belgium,BEL,08-10-2021,2.49
Belgium,BEL,09-10-2021,2.61
Belgium,BEL,10-10-2021,2.62
Belgium,BEL,11-10-2021,2.75
Belgium,BEL,12-10-2021,2.99
Belgium,BEL,13-10-2021,3.27
Belgium,BEL,14-10-2021,3.55
Belgium,BEL,15-10-2021,3.73
Belgium,BEL,16-10-2021,3.82
Belgium,BEL,17-10-2021,3.83
Belgium,BEL,18-10-2021,3.89
Belgium,BEL,19-10-2021,4.04
Belgium,BEL,20-10-2021,4.24
