Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Pfizer/BioNTech MIL,Moderna MIL,Oxford/AstraZeneca MIL,Johnson&Johnson MIL,Sputnik V MIL,Sinovac MIL,Sinopharm/Beijing MIL,CanSino MIL,Novavax MIL,Covaxin MIL
Russia,RUS,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,5/13/2022,73.6,16.9,7.1,2.07,0,0,0,0,0.064,0,0.13,0.30,0.12,0.37,0,0,0,0,0.11,0
Greece,GRC,,,,,,,,,,,,,,,,,,,,,
France,FRA,05-12-2022,77.33,16.43,5.46,0.75,0,0,0,0,0.012,0,0.11,0.23,0.78,0.10,0,0,0,0,0.17,0
Italy,ITA,5/14/2022,65.28,24.72,8.85,1.09,0,0,0,0,0.029,0,0.89,0.33,0.12,0.150,0,0,0,0,0.40,0
Spain,ESP,4/29/2022,64.94,23.42,9.67,1.95,0,0,0,0,0,0,0.657,0.23,0.97,0.198,0,0,0,0,0,0
Ukraine,UKR,2/23/2022,46.63,9.610,12.755,0.065,0,30.93,0,0,0,0,0.147,0.304,0.404,0.206,0,0.980,0,0,0,0
Poland,POL,4/29/2022,76.91,7.230,10.489,5.34,0,0,0,0,0.017,0,0.38,0.364,0.52,0.26,0,0,0,0,0.86,0
Netherlands,NLD,4/22/2022,70.45,18.83,8.17,2.53,0,0,0,0,0.003,0,0.241,0.64,0.28,0.86,0,0,0,0,0.11,0
Belgium,BEL,4/29/2022,69.89,17.043,11.36,1.701,0,0,0,0,0.056,0,0.175,0.42,0.28,0.42,0,0,0,0,0.14,0
Czechia,CZE,5/14/2022,83.50,9.093,5.040,2.345,0,0,0,0,0.041,0,0.147,0.159,0.887,0.41,0,0,0,0,0.72,0
Portugal,PRT,4/29/2022,68.33,16.33,10.18,5.13,0,0.013,0.074,0,0,0.014,0.151,0.36,0.22,0.113,0,0.30,0.16,0,0,0.32
Sweden,SWE,4/29/2022,75.48993042,17.7523771,6.755048823,0,0,0,0,0,0.002,0,0.148,0.349,0.13,0,0,0,0,0,0.520,0
Hungary,HUN,4/22/2022,58.01,6.52,7.78,2.09,11.24,0,14.33,0,0,0,0.93,0.10,0.125,0.33,0.180,0,0.230,0,0,0
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,4/29/2022,80.55,8.71,8.69,1.99,0,0,0,0,0.041,0,0.147,0.159,0.15,0.36,0,0,0,0,0.76,0
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,05-09-2022,37.185,62.427,0,0.38,0,0,0,0,0,0,0.58,0.97,0,0.60,0,0,0,0,0,0
Bulgaria,BGR,4/22/2022,65.93,11.32,10.93,11.80,0,0,0,0,0,0,0.28,0.49,0.47,0.51,0,0,0,0,0,0
Denmark,DNK,4/22/2022,84.27,14.06,1.27,0.38,0,0,0,0,0,0,0.10,0.171,0.15,0.46,0,0,0,0,0,0
Finland,FIN,4/29/2022,79.17,16.11,4.70,0,0,0,0,0,0,0,0.93,0.18,0.55,0,0,0,0,0,0,0
Slovakia,SVK,4/29/2022,74.57,9.84,12.32,2.68,0.55,0,0,0,0.016,0,0.50,0.67,0.84,0.18,0.37,0,0,0,0.11,0
Norway,NOR,4/22/2022,78.54,20.08,1.30,0.06,0,0,0,0,0,0,0.88,0.22,0.14,0.71,0,0,0,0,0,0
Ireland,IRL,4/29/2022,75.80,10.94,11.04,2.20,0,0,0,0,0.015,0,0.81,0.11,0.12,0.23,0,0,0,0,0.166,0
Croatia,HRV,4/22/2022,75.45,9.78,10.87,3.86,0,0,0,0,0.015,0,0.39,0.51,0.56,0.20,0,0,0,0,0.80,0
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,4/22/2022,74.09,7.35,12.01,6.61,0,0,0,0,0,0,0.33,0.328,0.53,0.29,0,0,0,0,0,0
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,
Slovenia,SVN,4/22/2022,76.37,8.03,10.98,4.60,0,0,0,0,0.003,0,0.22,0.23,0.32,0.13,0,0,0,0,0.10,0
Latvia,LVA,5/13/2022,56.03,24.71,9.07,10.16,0,0.004,0.0009,0,0.012,0,0.161,0.71,0.26,0.29,0,0.9,0.27,0,0.34,0
Estonia,EST,4/22/2022,73.17,11.40,11.59,3.80,0,0,0,0,0.027,0,0.150,0.23,0.23,0.78,0,0,0,0,0.555,0
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,
Malta,MLT,4/22/2022,58.68,19.78,18.85,2.67,0,0,0,0,0,0,0.70,0.23,0.22,0.32,0,0,0,0,0,0
Iceland,ISL,3/28/2022,92.08,7.81,0.0012,0.10,0,0,0,0,0,0,0.76,0.64,1,0.85,0,0,0,0,0,0
Andorra,AND,,,,,,,,,,,,,,,,,,,,,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,4/22/2022,31.35,68.25,0,0.38,0,0,0,0,0,0,0.21,0.46,0,0.263,0,0,0,0,0,0
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,
