Entity,Code,Day,5-9,10-14,15-17,18-24,25-49,50-59,60-69,70-79,80+
France,FRA,5/6/2022,0,0,0,88.94,88.25,91.31,90.86,93.44,86.76
Spain,ESP,4/29/2022,28.47,73.34,78.81,73.07,79.03,88.35,92.96,98.67,101.22
Poland,POL,4/29/2022,16.87,37.39,54.14,58.16,60.83,69.26,75.41,82.28,66.2
Belgium,BEL,5/6/2022,0,0,0,83.41,85.24,91.52,93.06,94.18,91.98
Czechia,CZE,5/6/2022,4.83,31.08,62.55,69.44,66.13,77.1,81.04,90.4,89.81
Portugal,PRT,4/29/2022,24.7,68.31,85.01,87.58,90.82,94.93,98.03,101.79,99.3
Sweden,SWE,4/29/2022,0,0,74.54,78.68,80.83,90.59,92.84,96.46,98.68
Hungary,HUN,5/7/2021,0,0,0,7.18,16.62,30.17,50.07,64.07,58.27
Austria,AUT,5/13/2022,21.49,44.02,73.65,77.47,77.81,83.29,89.31,89.2,99.77
Switzerland,CHE,5/15/2022,0,0,0,0,0,80.48,86.13,90.86,94.37
Bulgaria,BGR,6/4/2021,0,0,0,3.49,7.96,13,16.6,16.6,10.45
Denmark,DNK,5/6/2022,30.89,63.83,87.6,84.89,87.4,94.27,97.17,98.71,101.89
Finland,FIN,5/13/2022,10.71,55.1,84.04,80.72,83.59,90.63,93.32,96.56,96.43
Slovakia,SVK,4/29/2022,2.89,14.29,36.55,53.13,52.98,61.86,69.65,79.54,68.3
Ireland,IRL,4/29/2022,19.61,55.59,81.26,86.2,88.42,97.81,98.96,105.53,109.3
Croatia,HRV,5/13/2022,0.3,3.72,19.39,46.37,58.5,71.59,79.39,81.63,64.22
Lithuania,LTU,4/22/2022,2.47,24.32,59.48,77.27,79.66,80.65,82.46,80.68,64.52
Latvia,LVA,4/22/2022,2.11,33.69,67.43,80.23,78.39,80.1,80.23,76.17,64.51
Iceland,ISL,4/29/2022,26.71,68.9,91.86,87.78,86.25,93.25,97.08,102.44,107.06
Liechtenstein,LIE,5/15/2022,0,0,0,0,0,76.95,81.5,90.48,94.72
