Entity,Code,Day,people_vaccinated_per_hundred,05-09,10-14,15-17,18-24 ,25-49,50-59,60-69,70-79,80+
Portugal,PRT,01-01-2021,0.05,0,,0,0,0,0,0,0,0
Portugal,PRT,08-01-2021,0.84,0,0,0,0,0,0.01,0,0.01,0.02
Portugal,PRT,15-01-2021,1.34,0,0,0,0.01,0.04,0.07,0.06,0.07,0.31
Portugal,PRT,22-01-2021,2.55,0,0,0.01,0.1,0.25,0.37,0.25,0.23,0.98
Portugal,PRT,29-01-2021,2.97,0,0,0.03,0.42,1.08,1.62,1.11,1.12,4.86
Portugal,PRT,05-02-2021,3.21,0,0,0.04,0.82,2.03,2.92,1.9,1.93,9.8
Portugal,PRT,12-02-2021,3.62,0,0,0.05,1.03,2.39,3.42,2.2,2.31,12.73
Portugal,PRT,19-02-2021,4.65,0,0,0.06,1.16,2.65,3.79,2.46,2.5,13.38
Portugal,PRT,26-02-2021,6.4,0,0,0.06,1.24,2.8,4,2.62,2.66,14.27
Portugal,PRT,05-03-2021,7.78,0,0,0.07,1.29,2.93,4.2,2.8,2.95,18.22
Portugal,PRT,12-03-2021,8.75,0,0,0.08,1.34,3.04,4.38,3.05,3.37,25.43
Portugal,PRT,19-03-2021,9.58,0,0,0.1,1.42,3.17,4.68,3.53,4.17,40.14
Portugal,PRT,26-03-2021,12.14,0,0,0.12,1.56,3.35,4.98,4.16,5.72,50.64
Portugal,PRT,02-04-2021,13.52,0,0,0.36,2.3,4.23,6.16,5.91,9.36,59.5
Portugal,PRT,09-04-2021,16.07,0,0,0.45,2.66,4.75,7.02,7.5,13.58,63.48
Portugal,PRT,16-04-2021,20.28,0,0,0.47,2.83,5.02,7.43,8.14,16.01,67.55
Portugal,PRT,23-04-2021,22.39,0,0,0.49,3.12,5.35,7.9,9.2,20.46,68.87
Portugal,PRT,30-04-2021,25.83,0,0,0.53,3.73,6.11,8.92,11.35,27.22,70.88
Portugal,PRT,07-05-2021,29.64,0,0.01,0.59,4.49,7.08,10.21,13.56,31.39,72.11
Portugal,PRT,14-05-2021,32.69,0,0.01,0.65,5.63,8.65,12.51,17.53,37.45,75.97
Portugal,PRT,21-05-2021,35.97,0,0.01,0.8,6.99,10.98,16.04,22.91,44.22,78.45
Portugal,PRT,28-05-2021,38.77,0,0.01,1.01,8.65,13.64,20.28,30.67,51.33,79.88
Portugal,PRT,04-06-2021,41.64,0,0.02,1.24,10.56,16.98,26.6,41.41,56.14,82.26
Portugal,PRT,11-06-2021,45.5,0,0.02,1.61,12.98,20.56,33.44,50.21,60.78,84.35
Portugal,PRT,18-06-2021,49.28,0,0.08,2.56,15.81,25.01,42.69,57.06,67.02,86.3
