Entity,Code,Day,people_vaccinated_per_hundred,05-09,10-14,15-17,18-24,25-49,50-59,60-69,70-79,80+
Poland,POL,17-01-2021,0,0,0,0,0,0,0,0,0,0
Poland,POL,18-01-2021,0.01,0,0,0,0,0,0,0,0,0
Poland,POL,19-01-2021,0.03,0,0,0,0,0,0,0,0,0
Poland,POL,20-01-2021,0.07,0,0,0,0,0,0,0,0,0
Poland,POL,21-01-2021,0.1,0,0,0,0,0,0,0,0,0
Poland,POL,22-01-2021,0.12,0,0,0,0,0,0,0,0,0
Poland,POL,23-01-2021,0.12,0,0,0,0,0,0,0,0,0
Poland,POL,24-01-2021,0.13,0,0,0,0,0,0,0,0,0
Poland,POL,25-01-2021,0.2,0,0,0,0,0,0,0,0,0
Poland,POL,26-01-2021,0.33,0,0,0,0,0,0,0,0,0
Poland,POL,27-01-2021,0.4,0,0,0,0,0,0,0,0,0
Poland,POL,28-01-2021,0.47,0,0,0,0,0,0,0,0,0
Poland,POL,29-01-2021,0.52,0,0,0,0,0,0,0,0,0
Poland,POL,30-01-2021,0.53,0,0,0,0,0,0,0,0,0
Poland,POL,31-01-2021,0.53,0,0,0,0,0,0,0,0,0
Poland,POL,01-02-2021,0.62,0,0,0,0,0,0,0,0,0
Poland,POL,02-02-2021,0.77,0,0,0,0,0,0,0,0,0
Poland,POL,03-02-2021,0.91,0,0,0,0,0,0,0,0,0
Poland,POL,04-02-2021,1.05,0,0,0,0,0,0,0,0,0
Poland,POL,05-02-2021,1.12,0,0,0,0,0,0,0,0,0
Poland,POL,06-02-2021,1.17,0,0,0,0,0,0,0,0,0
Poland,POL,07-02-2021,1.19,0,0,0,0,0,0,0,0,0
Poland,POL,09-02-2021,1.28,0,0,0,0,0,0,0,0,0
Poland,POL,11-02-2021,1.54,0,0,0,0,0,0,0,0,0
Poland,POL,12-02-2021,1.65,0,0,0,0,0,0,0,0,0
Poland,POL,13-02-2021,1.69,0,0,0,0,0,0,0,0,0.01
Poland,POL,14-02-2021,1.71,0,0,0,0,0,0.01,0.01,0.01,0.01
Poland,POL,15-02-2021,1.74,0,0,0,0,0,0.01,0.01,0.01,0.02
Poland,POL,16-02-2021,1.83,0,0,0,0,0.01,0.01,0.02,0.02,0.03
Poland,POL,17-02-2021,2.05,0,0,0,0,0.01,0.02,0.02,0.03,0.03
Poland,POL,18-02-2021,2.29,0,0,0,0,0.01,0.02,0.03,0.03,0.04
Poland,POL,19-02-2021,2.43,0,0,0,0,0.01,0.03,0.04,0.05,0.06
Poland,POL,20-02-2021,2.45,0,0,0,0.01,0.02,0.03,0.05,0.06,0.08
Poland,POL,21-02-2021,2.46,0,0,0,0.01,0.02,0.05,0.07,0.09,0.14
Poland,POL,22-02-2021,2.47,0,0,0,0.01,0.04,0.08,0.14,0.19,0.33
Poland,POL,24-02-2021,2.73,0,0,0,0.02,0.07,0.14,0.22,0.32,0.73
Poland,POL,26-02-2021,3.09,0,0,0.01,0.05,0.14,0.26,0.36,0.58,1.87
Poland,POL,28-02-2021,3.14,0,0,0.01,0.08,0.24,0.43,0.61,1.07,4.1
Poland,POL,01-03-2021,3.16,0,0,0.01,0.12,0.35,0.64,0.91,1.67,7.72
Poland,POL,03-03-2021,3.39,0,0,0.02,0.19,0.54,0.98,1.41,2.74,14.86
Poland,POL,04-03-2021,3.62,0,0,0.03,0.26,0.78,1.41,2.02,4.1,20.77
Poland,POL,06-03-2021,3.77,0,0,0.04,0.37,1.12,2.01,2.86,6.08,27.2
Poland,POL,08-03-2021,3.8,0,0,0.05,0.48,1.37,2.43,3.51,7.77,31.48
Poland,POL,09-03-2021,3.82,0,0,0.08,0.95,2.32,3.93,5.5,11.96,38.18
Poland,POL,11-03-2021,4.12,0,0.01,0.18,2.07,4.59,7.58,10.48,20.67,47.92
Poland,POL,12-03-2021,4.22,0,0.04,0.5,4.02,8.57,14.45,20.54,34.17,58.16
Poland,POL,13-03-2021,4.24,0,0.1,1.23,7.42,14.33,24.01,33.23,47.02,66.83
Poland,POL,14-03-2021,4.25,0,0.21,2.26,11.23,20.19,33.08,44.85,57.58,72.88
Poland,POL,15-03-2021,4.26,0,0.37,3.49,15.39,25.87,40.91,54.08,64.54,76.32
Poland,POL,16-03-2021,4.29,0,0.9,6.02,20.4,31.83,48.53,62.4,70.21,79.36
Poland,POL,17-03-2021,4.4,0,1.57,8.59,23.64,34.59,51.62,65.28,72.13,80.54
Poland,POL,18-03-2021,4.58,0,2.27,10.91,25.75,36.46,53.61,66.89,73.09,81.09
Poland,POL,19-03-2021,4.68,0.01,3.58,14.97,28.7,39.06,56.05,68.78,74.1,81.68
Poland,POL,20-03-2021,4.71,0.01,4.69,18.62,32.08,42.49,59.06,71.23,75.63,82.64
Poland,POL,21-03-2021,4.72,0.01,5.58,21.56,35.15,45.18,61.2,72.8,76.6,83.34
Poland,POL,22-03-2021,4.73,0.01,6.5,24.58,37.95,47.46,62.87,73.92,77.28,83.84
Poland,POL,23-03-2021,4.78,0.02,7.42,27.69,41.65,50,64.49,74.93,77.84,84.23
Poland,POL,24-03-2021,4.91,0.02,8.22,29.83,43.24,51.04,65.15,75.42,78.18,84.52
Poland,POL,26-03-2021,5.21,0.02,8.78,31.22,43.99,51.52,65.49,75.7,78.42,84.74
Poland,POL,28-03-2021,5.27,0.03,9.25,32.23,44.46,51.85,65.73,75.91,78.61,84.92
Poland,POL,30-03-2021,5.34,0.03,9.62,33.03,44.85,52.12,65.95,76.11,78.79,85.08
Poland,POL,31-03-2021,5.4,0.03,9.91,33.59,45.15,52.35,66.14,76.29,78.94,85.21
Poland,POL,01-04-2021,5.45,0.04,10.15,34.02,45.41,52.56,66.32,76.46,79.1,85.35
Poland,POL,02-04-2021,5.48,0.04,10.38,34.44,45.7,52.78,66.51,76.64,79.26,85.48
Poland,POL,04-04-2021,5.49,0.04,10.58,34.83,45.98,53,66.71,76.81,79.42,85.6
Poland,POL,05-04-2021,5.49,0.05,10.77,35.16,46.24,53.21,66.9,77.01,79.59,85.75
Poland,POL,07-04-2021,5.53,0.05,10.95,35.54,46.49,53.39,67.06,77.16,79.72,85.87
Poland,POL,08-04-2021,5.55,0.06,11.09,35.8,46.71,53.59,67.25,77.36,79.88,86.01
Poland,POL,10-04-2021,5.57,0.06,11.25,36.06,46.94,53.82,67.51,77.6,80.09,86.18
Poland,POL,11-04-2021,5.57,0.07,11.37,36.28,47.17,54.05,67.76,77.84,80.29,86.34
Poland,POL,12-04-2021,5.59,0.08,11.49,36.51,47.43,54.29,68.02,78.07,80.48,86.51
Poland,POL,13-04-2021,5.65,0.09,11.61,36.72,47.67,54.52,68.25,78.28,80.66,86.7
Poland,POL,15-04-2021,5.95,0.1,11.71,36.89,47.87,54.68,68.4,78.41,80.77,86.81
Poland,POL,19-04-2021,6.1,0.12,11.85,37.07,48.07,54.85,68.57,78.56,80.9,86.95
Poland,POL,20-04-2021,6.2,0.15,11.98,37.25,48.24,54.99,68.7,78.69,81.01,87.07
Poland,POL,21-04-2021,6.39,0.18,12.15,37.46,48.41,55.11,68.82,78.79,81.1,87.16
Poland,POL,22-04-2021,6.6,0.27,12.41,37.72,48.59,55.24,68.94,78.91,81.21,87.3
Poland,POL,23-04-2021,6.73,0.4,12.72,37.96,48.74,55.35,69.03,79,81.31,87.42
Poland,POL,25-04-2021,6.82,0.55,13.01,38.18,48.89,55.46,69.13,79.11,81.42,87.56
Poland,POL,27-04-2021,7.27,0.57,13.04,38.2,48.91,55.47,69.14,79.12,81.43,87.57
Poland,POL,28-04-2021,7.55,0,0,0,0,0,0,0,0,0
Poland,POL,29-04-2021,7.6,0,0,0,0,0,0,0,0,0
Poland,POL,01-05-2021,7.83,0,0,0,0,0,0,0,0,0
Poland,POL,03-05-2021,7.88,0,0,0,0,0,0,0,0,0
Poland,POL,05-05-2021,8.75,0,0,0,0,0,0,0,0,0
Poland,POL,06-05-2021,9.13,0,0,0,0,0,0,0,0,0
Poland,POL,07-05-2021,9.47,0,0,0,0,0,0,0,0,0
Poland,POL,08-05-2021,9.66,0,0,0,0,0,0,0,0,0
Poland,POL,09-05-2021,9.71,0,0,0,0,0,0,0,0,0
Poland,POL,10-05-2021,9.87,0,0,0,0,0,0,0,0,0
Poland,POL,11-05-2021,10.16,0,0,0,0,0,0,0,0,0
Poland,POL,13-05-2021,11.22,0,0,0,0,0,0,0,0,0
Poland,POL,14-05-2021,11.68,0,0,0,0,0,0,0,0,0
Poland,POL,15-05-2021,12,0,0,0,0,0,0,0,0,0
Poland,POL,16-05-2021,12.11,0,0,0,0,0,0,0,0,0
Poland,POL,17-05-2021,12.28,0,0,0,0,0,0,0,0,0
Poland,POL,18-05-2021,12.68,0,0,0,0,0,0,0,0,0
Poland,POL,20-05-2021,13.82,0,0,0,0,0,0,0,0,0
Poland,POL,21-05-2021,14.31,0,0,0,0,0,0,0,0,0
Poland,POL,22-05-2021,14.69,0,0,0,0,0,0,0,0,0
Poland,POL,23-05-2021,14.81,0,0,0,0,0,0,0,0,0
Poland,POL,24-05-2021,15.05,0,0,0,0,0,0,0,0,0
Poland,POL,25-05-2021,15.49,0,0,0,0,0,0,0,0,0
Poland,POL,26-05-2021,16.06,0,0,0,0,0,0,0,0,0
Poland,POL,27-05-2021,16.69,0,0,0,0,0,0,0,0,0
Poland,POL,28-05-2021,17.36,0,0,0,0,0,0,0,0,0
Poland,POL,29-05-2021,17.96,0,0,0,0,0,0,0,0,0
Poland,POL,30-05-2021,18.17,0,0,0,0,0,0,0,0,0
Poland,POL,31-05-2021,18.57,0,0,0,0,0,0,0,0,0
Poland,POL,01-06-2021,19.31,0,0,0,0,0,0,0,0,0
Poland,POL,02-06-2021,20.37,0,0,0,0,0,0,0,0,0
Poland,POL,03-06-2021,20.58,0,0,0,0,0,0,0,0,0
Poland,POL,04-06-2021,21.27,0,0,0,0,0,0,0,0,0
Poland,POL,05-06-2021,21.61,0,0,0,0,0,0,0,0,0
Poland,POL,06-06-2021,21.76,0,0,0,0,0,0,0,0,0
Poland,POL,07-06-2021,22.14,0,0,0,0,0,0,0.01,0.01,0.01
Poland,POL,08-06-2021,22.81,0,0,0,0.02,0.07,0.19,0.34,0.47,0.25
Poland,POL,09-06-2021,23.63,0,0,0,0.06,0.24,0.73,1.4,2.34,1.87
Poland,POL,10-06-2021,24.35,0,0,0,0.12,0.5,1.57,3.11,5.08,4.95
Poland,POL,11-06-2021,25.08,0,0,0,0.19,0.76,2.3,4.36,6.82,17.44
Poland,POL,12-06-2021,25.6,0,0,0,0.23,0.87,2.6,5.11,8.72,33.36
Poland,POL,13-06-2021,25.79,0,0,0,0.25,0.94,2.79,6.14,11.96,41.48
Poland,POL,14-06-2021,26.27,0,0,0,0.28,1.03,3.03,7.52,16.02,49.03
Poland,POL,16-06-2021,27.74,0,0,0,0.3,1.1,3.18,8.75,20.16,53
Poland,POL,17-06-2021,28.48,0,0,0,0.35,1.22,3.4,10.32,25.44,58.35
Poland,POL,18-06-2021,29.08,0,0,0,0.57,1.84,4.3,13.65,36.56,70.08
Poland,POL,19-06-2021,29.46,0,0,0,1.88,4.35,7.53,19.66,53.25,79.12
Poland,POL,20-06-2021,29.61,0,0,0,4.27,7.97,13.54,29.79,68.62,83.91
Poland,POL,21-06-2021,30,0,0,0,6.63,11.33,22.03,43.69,80.54,86.67
Poland,POL,22-06-2021,30.8,0,0,0,9.51,15.88,33.99,60.66,87.04,88.62
Poland,POL,23-06-2021,31.57,0,0,0,12.74,22.12,44.88,71.35,89.95,89.63
Poland,POL,24-06-2021,31.89,0,0,0,14.95,25.77,50.77,74.78,90.6,90
Poland,POL,26-06-2021,33.37,0,0,0,21.8,36.27,66.43,82.82,91.99,90.63
Poland,POL,27-06-2021,33.55,0,0,0,29.59,48.24,74.49,85.75,92.92,91.17
Poland,POL,28-06-2021,33.89,0,0,0,37.7,55.48,76.82,86.88,93.45,91.51
Poland,POL,29-06-2021,34.49,0,0,0,45.5,58.68,78.16,87.62,93.89,91.78
Poland,POL,30-06-2021,35.17,0,0,0,50.43,60.57,79.11,88.16,94.19,91.96
Poland,POL,01-07-2021,35.78,0,0,0,53.43,61.9,79.74,88.51,94.4,92.1
Poland,POL,02-07-2021,36.29,0,0,0,55.31,62.95,80.21,88.77,94.56,92.21
Poland,POL,03-07-2021,36.65,0,0,0,56.9,63.84,80.63,89.02,94.71,92.31
Poland,POL,04-07-2021,36.78,0,0,0,57.49,64.17,80.79,89.12,94.77,92.35
Poland,POL,05-07-2021,37.05,0,0,0,57.75,64.34,80.88,89.18,94.81,92.39
Poland,POL,06-07-2021,37.62,0,0,0,57.94,64.47,80.95,89.22,94.85,92.42
Poland,POL,07-07-2021,38.39,0,0,0,58.07,64.58,81.01,89.27,94.88,92.44
Poland,POL,08-07-2021,38.96,0,0,0,58.19,64.66,81.06,89.3,94.91,92.46
Poland,POL,09-07-2021,39.52,0,0,0,58.25,64.71,81.09,89.32,94.92,92.47
Poland,POL,11-07-2021,40.17,0,0,0,58.31,64.76,81.11,89.34,94.94,92.49
Poland,POL,12-07-2021,40.42,0,0,0,58.36,64.81,81.14,89.37,94.95,92.5
Poland,POL,13-07-2021,40.89,0,0,0,58.42,64.86,81.18,89.39,94.97,92.52
Poland,POL,14-07-2021,41.54,0,0,0,58.47,64.91,81.21,89.41,94.99,92.53
Poland,POL,15-07-2021,42.09,0,0,0,58.53,64.97,81.24,89.43,95,92.54
Poland,POL,17-07-2021,42.89,0,0,0,58.59,65.02,81.27,89.45,95.02,92.56
Poland,POL,19-07-2021,43.17,0,0,0,58.64,65.07,81.29,89.47,95.03,92.58
Poland,POL,20-07-2021,43.5,0,0,0,58.71,65.13,81.33,89.49,95.05,92.64
Poland,POL,21-07-2021,43.93,0,0,0,58.78,65.19,81.36,89.51,95.07,92.7
Poland,POL,22-07-2021,44.34,0,0,0,58.84,65.24,81.39,89.52,95.09,92.77
Poland,POL,23-07-2021,44.66,0,0,0,58.91,65.3,81.42,89.54,95.1,92.8
Poland,POL,25-07-2021,44.94,0,0,0,58.97,65.35,81.45,89.55,95.11,92.82
Poland,POL,26-07-2021,45.09,0,0,0,59.03,65.41,81.48,89.57,95.12,92.83
Poland,POL,27-07-2021,45.28,0,0,0,0,0,0,0,0,0
Poland,POL,28-07-2021,45.57,0,0,0,0,0,0,0,0,0
Poland,POL,29-07-2021,45.81,0,0,0,0,0,0,0,0,0
Poland,POL,30-07-2021,46.03,0,0,0,0,0,0,0,0,0
Poland,POL,31-07-2021,46.22,0,0,0,0,0,0,0,0,0
Poland,POL,01-08-2021,46.3,0,0,0,0,0,0,0,0,0
Poland,POL,02-08-2021,46.4,0,0,0,0,0,0,0,0,0
Poland,POL,03-08-2021,46.54,0,0,0,0,0,0,0,0,0
Poland,POL,04-08-2021,46.73,0,0,0,0,0,0,0,0,0
Poland,POL,05-08-2021,46.92,0,0,0,0,0,0,0,0,0
Poland,POL,07-08-2021,47.26,0,0,0,0,0,0,0,0,0
Poland,POL,09-08-2021,47.39,0,0,0,0,0,0,0,0,0
Poland,POL,10-08-2021,47.5,0,0,0,0,0,0,0,0,0
Poland,POL,11-08-2021,47.63,0,0,0,0,0,0,0,0,0
Poland,POL,12-08-2021,47.79,0,0,0,0,0,0,0,0,0
Poland,POL,14-08-2021,48.04,0,0,0,0,0,0,0,0,0
Poland,POL,15-08-2021,48.08,0,0,0,0,0.02,0.04,0.06,0.03,0.01
Poland,POL,16-08-2021,48.17,0,0,0,0,0.04,0.13,0.16,0.1,0.04
Poland,POL,17-08-2021,48.27,0,0,0,0.01,0.08,0.22,0.28,0.17,0.09
Poland,POL,18-08-2021,48.44,0,0,0,0.01,0.12,0.33,0.43,0.27,0.14
Poland,POL,19-08-2021,48.57,0,0,0,0.02,0.18,0.47,0.63,0.41,0.21
Poland,POL,20-08-2021,48.71,0,0,0,0.04,0.25,0.65,0.92,0.66,0.36
Poland,POL,21-08-2021,48.8,0,0,0,0.06,0.37,0.93,1.4,1.18,0.68
Poland,POL,22-08-2021,48.84,0,0,0,0.1,0.5,1.27,2.07,2,1.19
Poland,POL,24-08-2021,49.01,0,0,0,0.14,0.67,1.69,2.91,3.1,1.84
Poland,POL,26-08-2021,49.26,0,0,0,0.23,0.94,2.36,4.18,4.62,2.8
Poland,POL,27-08-2021,49.4,0,0,0,0.33,1.22,3.05,5.57,6.43,3.93
Poland,POL,28-08-2021,49.49,0,0,0,0.45,1.57,3.85,7.08,8.35,5.17
Poland,POL,29-08-2021,49.54,0,0,0,0.62,1.88,4.47,8.05,9.51,5.9
Poland,POL,30-08-2021,49.61,0,0,0,0.74,2.09,4.92,8.69,10.28,6.43
Poland,POL,31-08-2021,49.71,0,0,0,1.19,3.05,6.88,11.94,14.28,9
Poland,POL,01-09-2021,49.8,0,0,0,1.59,4.04,8.93,15.28,18.4,11.66
Poland,POL,02-09-2021,49.9,0,0,0,1.85,4.67,10.09,17.17,20.72,13.25
Poland,POL,03-09-2021,50.01,0,0,0,2.11,5.11,10.79,18.13,21.84,14.03
Poland,POL,04-09-2021,50.08,0,0,0,2.35,5.47,11.3,18.72,22.51,14.49
Poland,POL,05-09-2021,50.11,0,0,0,2.56,5.77,11.72,19.2,23.05,14.87
Poland,POL,06-09-2021,50.16,0,0,0,2.75,6.03,12.04,19.56,23.44,15.17
Poland,POL,07-09-2021,50.22,0,0,0,2.92,6.25,12.32,19.87,23.76,15.41
Poland,POL,08-09-2021,50.3,0,0,0,3.05,6.4,12.48,20.01,23.9,15.51
Poland,POL,10-09-2021,50.49,0,0,0,3.16,6.54,12.64,20.16,24.05,15.62
Poland,POL,11-09-2021,50.52,0,0,0,3.27,6.68,12.79,20.3,24.21,15.72
Poland,POL,12-09-2021,50.55,0,0,0,3.36,6.8,12.94,20.43,24.35,15.82
Poland,POL,14-09-2021,50.65,0,0,0,3.45,6.92,13.06,20.54,24.46,15.92
Poland,POL,15-09-2021,50.71,0,0,0,3.54,7.03,13.19,20.66,24.58,16.01
Poland,POL,16-09-2021,50.77,0,0,0,3.63,7.15,13.32,20.77,24.69,16.09
Poland,POL,17-09-2021,50.85,0,0,0,3.7,7.23,13.4,20.84,24.75,16.14
Poland,POL,19-09-2021,50.92,0,0,0,3.77,7.31,13.49,20.91,24.82,16.2
Poland,POL,20-09-2021,50.95,0,0,0,3.81,7.36,13.53,20.95,24.86,16.23
Poland,POL,21-09-2021,51,0,0,0,3.86,7.42,13.59,21.02,24.94,16.28
Poland,POL,22-09-2021,51.12,0,0,0,3.91,7.46,13.64,21.07,25,16.32
Poland,POL,23-09-2021,51.17,0,0,0,3.94,7.5,13.67,21.1,25.03,16.34
Poland,POL,24-09-2021,51.24,0,0,0,3.96,7.53,13.71,21.13,25.05,16.36
Poland,POL,25-09-2021,51.26,0,0,0,3.98,7.56,13.73,21.16,25.08,16.38
Poland,POL,27-09-2021,51.29,0,0,0,4.01,7.58,13.76,21.18,25.1,16.4
Poland,POL,28-09-2021,51.29,0,0,0,4.03,7.6,13.78,21.2,25.13,16.42
Poland,POL,29-09-2021,51.34,0,0,0,4.06,7.63,13.83,21.25,25.18,16.45
Poland,POL,01-10-2021,51.56,0,0,0,4.1,7.68,13.89,21.33,25.27,16.5
Poland,POL,02-10-2021,51.59,0,0,0,4.15,7.75,13.99,21.46,25.4,16.6
Poland,POL,03-10-2021,51.67,0,0,0,0,0,0,0,0,0
Poland,POL,04-10-2021,51.7,0,0,0,0,0,0,0,0,0
Poland,POL,12-10-2021,51.98,0,0,0,0,0,0,0,0,0
Poland,POL,13-10-2021,51.99,0,0,0,0,0,0,0,0,0
Poland,POL,15-10-2021,52.16,0,0,0,0,0,0,0,0,0
Poland,POL,16-10-2021,52.19,0,0,0,0,0,0,0,0,0
Poland,POL,17-10-2021,52.2,0,0,0,0,0,0,0,0,0
Poland,POL,19-10-2021,52.27,0,0,0,0,0,0,0,0,0
Poland,POL,20-10-2021,52.32,0,0,0,0,0,0,0,0,0
Poland,POL,21-10-2021,52.37,0,0,0,0,0,0,0,0,0
Poland,POL,23-10-2021,52.47,0,0,0,0,0,0,0,0,0
Poland,POL,24-10-2021,52.47,0,0,0,0,0,0,0,0,0
Poland,POL,25-10-2021,52.51,0,0,0,0,0,0,0,0,0
Poland,POL,26-10-2021,52.61,0,0,0,0,0,0,0,0,0
Poland,POL,28-10-2021,52.72,0,0,0,0,0,0,0,0,0
Poland,POL,29-10-2021,52.78,0,0,0,0,0,0,0,0,0
Poland,POL,31-10-2021,52.82,0,0,0,0,0,0,0,0,0
Poland,POL,01-11-2021,52.83,0,0,0,0,0,0,0,0,0
Poland,POL,02-11-2021,52.87,0,0,0,0,0,0,0,0,0
Poland,POL,03-11-2021,52.91,0,0,0,0,0,0,0,0,0
Poland,POL,04-11-2021,52.96,0,0,0,0,0,0,0,0,0
Poland,POL,05-11-2021,53.03,0,0,0,0,0,0,0,0,0
Poland,POL,06-11-2021,53.06,0,0,0,0,0,0,0,0,0
Poland,POL,07-11-2021,53.07,0,0,0,0,0,0,0,0,0
Poland,POL,08-11-2021,53.11,0,0,0,0,0,0,0,0,0
Poland,POL,09-11-2021,53.15,0,0,0,0,0,0,0,0,0
Poland,POL,11-11-2021,53.21,0,0,0,0,0,0,0,0,0
Poland,POL,12-11-2021,53.27,0,0,0,0,0,0,0,0,0
Poland,POL,14-11-2021,53.3,0,0,0,0,0,0,0,0,0
Poland,POL,15-11-2021,53.34,0,0,0,0,0,0,0,0,0
Poland,POL,16-11-2021,53.38,0,0,0,0,0,0,0,0,0
Poland,POL,17-11-2021,53.44,0,0,0,0,0,0,0,0,0
Poland,POL,18-11-2021,53.49,0,0,0,0,0,0,0,0,0
Poland,POL,19-11-2021,53.57,0,0,0,0,0,0,0,0,0
Poland,POL,20-11-2021,53.61,0,0,0,0,0,0,0,0,0
Poland,POL,21-11-2021,53.63,0,0,0,0,0,0,0,0,0
Poland,POL,22-11-2021,53.66,0,0,0,0,0,0,0,0,0
Poland,POL,23-11-2021,53.7,0,0,0,0,0,0,0,0,0
Poland,POL,25-11-2021,53.82,0,0,0,0,0,0,0,0,0
Poland,POL,27-11-2021,53.97,0,0,0,0,0,0,0,0,0
Poland,POL,28-11-2021,53.99,0,0,0,0,0,0,0,0,0
